Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Surrogate_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Surrogate_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Surrogate_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimer's_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Surrogate_Median_Sensitivity
0.00017402	0.000573343	0.00017402	0.00017402	0.00017402	0.000510322	0.00969192	1.33E-08	0.003776715	0.002143518	1	1	1	1	1	0.000144049	0.001719587	0.000144049	0.000144049	0.000144049
6.17E-06	0.001099726	6.17E-06	6.17E-06	6.17127E-06	4.22E-05	0.02330152	1.18E-06	4.22E-05	4.21732E-05	1	1	1	1	1	0.009170549	0.09230373	0.009170549	0.009170549	0.009170549
1.87E-06	6.30E-06	1.87E-06	1.87E-06	1.87175E-06	0.008118017	0.1373302	0.001682021	0.009445643	0.00878183	0.1841727	1	1	1	1	0.001337859	0.005444947	0.001337859	0.001337859	0.001337859
0.000614498	0.000228578	0.000614498	0.000614498	0.000614498	0.000237913	0.02268334	2.60E-08	0.000237913	0.000237913	1	1	1	1	1	0.05633472	0.2670024	0.05633472	0.05633472	0.05633472
8.18E-05	0.000177659	8.18E-05	8.18E-05	8.18222E-05	4.94E-06	0.02918023	2.82E-07	1.67E-07	2.6135E-06	1	1	1	1	1	0.02328824	0.02328824	0.05633472	0.02328824	0.02328824
2.14E-05	0.000139441	2.14E-05	2.14E-05	2.13574E-05	6.97E-10	0.004100209	6.97E-10	6.97E-10	6.97072E-10	1	1	1	1	1	0.01584688	0.1529425	0.1302832	0.1302832	0.1302832
9.29E-07	1.99E-05	9.29E-07	9.29E-07	9.2931E-07	2.15E-05	0.06554921	3.59E-06	0.000485878	0.000253693	0.4942827	0.3426135	1	1	0.74714135	0.002556847	0.004155643	0.05442875	0.05442875	0.029292197
7.20E-06	0.000272261	7.20E-06	7.20E-06	7.19842E-06	3.82E-05	0.02371695	8.49E-09	3.82E-05	3.8173E-05	1	1	1	1	1	0.01584688	0.03000122	0.0922709	0.0922709	0.06113606
0.001367303	6.44E-05	1.37E-03	0.001367303	0.001367303	3.13E-07	0.001403568	2.48E-07	3.13E-07	3.12913E-07	1	1	1	1	1	0.01046916	0.01046916	0.07622535	0.01046916	0.01046916
4.70E-05	3.21E-05	4.70E-05	4.70E-05	4.70478E-05	0.001005058	0.02792643	5.23E-08	0.001321999	0.001163529	1	1	1	1	1	0.02146069	0.1529425	0.02146069	0.02146069	0.02146069
3.00E-06	7.29E-06	3.00E-06	3.00E-06	2.99544E-06	0.000802975	0.09928792	0.000309351	0.000802975	0.000802975	1	1	1	1	1	0.002556847	0.02328824	0.02140266	0.02140266	0.02140266
0.001065554	0.000369578	0.001065554	0.001065554	0.001065554	0.000452641	0.007212144	6.27E-08	0.000452641	0.000452641	1	1	1	1	1	0.001719587	0.001719587	0.009170549	0.001719587	0.001719587
