ID_REF,GSM313235,GSM313236,GSM313237,GSM313238,GSM313239,GSM313240,GSM313241,GSM313242,GSM313243,GSM313244,GSM313245,GSM313246,GSM313247,GSM313248,GSM313249,GSM313250,GSM313251,GSM313252,GSM313253,GSM313254,GSM313255,GSM313256,GSM313257,GSM313258,GSM313259,GSM313260,GSM313261,GSM313262
41197,10.4425,8.23985,11.073,9.81995,8.7931,8.2015,9.0906,9.9662,8.7742,8.56285,8.1345,10.474,8.2094,9.70925,8.20995,10.43,9.508,9.1729,8.5633,8.385,7.8001,10.709,7.83605,7.9138,9.01555,8.4249,7.8185,8.7054
41198,6.20645,6.27565,6.37625,7.21565,6.36215,8.07585,6.59845,6.6563,6.73255,7.15055,6.54505,6.6074,7.1192,6.39185,6.2807,6.8668,7.63235,7.5402,6.4521,6.9545,6.86315,6.84675,7.8394,6.96555,7.166,6.4301,7.8731,6.7032
41199,7.15235,7.1342,7.24095,7.80565,7.20735,8.85375,7.3051,7.4201,7.3698,7.94745,7.35105,7.2394,7.47725,7.15255,7.25595,7.0707,8.5986,8.1267,7.11225,7.96565,7.54585,7.34605,8.93525,7.3771,7.8667,7.11635,8.86,7.16225
41201,9.5258,9.24415,9.9453,9.5572,10.1865,9.5984,9.63815,10.104,9.719,10.09695,9.38915,9.92575,9.77275,9.59145,9.9747,9.18845,9.62955,9.4088,9.504,9.35555,9.919,9.34045,9.06585,9.7665,10.251,10.0675,9.3526,9.3479
41202,6.5757,6.4987,6.71065,7.3453,6.7489,8.714,6.797,7.0299,6.88695,7.50475,6.96895,6.9161,6.93885,6.844,6.8391,6.7075,7.8096,7.55445,6.8869,7.70705,7.4916,7.24825,8.3614,7.23,7.65115,6.5229,8.7279,6.6915
41203,13.455,13.6695,13.8585,12.857,13.9145,14.363,14.094,13.923,13.35,13.2285,14.453,13.3075,14.4225,12.586,14.4495,13.4325,13.4695,13.1675,13.6165,13.7525,14.084,12.9205,14.083,13.4445,13.715,13.582,14.054,13.06
41205,10.373,9.86865,10.0119,10.541,10.683,10.2035,10.299,10.7875,10.827,10.3345,11.0285,11.0565,10.078,10.576,10.2524,10.328,10.6155,10.662,10.229,9.96465,10.334,10.4265,9.93255,10.4435,10.284,9.54385,10.389,9.97165
41206,10.62045,10.6495,11.0145,10.1513,9.91795,9.5323,10.3575,10.438,10.22125,10.8936,9.4097,11.208,10.6837,10.858,10.5335,11.115,10.17335,10.3815,10.4647,10.55775,10.10735,10.601,10.0458,10.4275,10.8775,10.5395,10.5865,10.759
41216,8.4726,8.33555,8.51745,8.7479,8.37855,9.8059,8.6618,8.56245,8.47165,9.13465,8.40565,8.7507,8.31405,8.59725,8.196,8.34975,9.4135,9.1764,8.47385,9.0156,8.7888,8.5243,9.999,8.68665,8.5554,8.32035,9.9011,8.366
41218,9.53485,9.30175,9.5013,9.6223,9.50675,8.2544,9.64495,9.78975,9.6802,8.82475,9.71845,9.9301,8.9767,9.4757,9.26945,9.1748,8.76115,9.4056,9.5268,8.54835,9.425,9.55905,8.4295,9.77245,8.9392,9.47475,8.67925,9.68585
41223,8.38095,8.49345,8.5638,8.27555,7.9644,8.2594,7.9712,8.0103,7.9645,8.5814,7.6148,8.804,8.3999,8.46,8.33175,8.8648,8.09845,8.0124,8.3525,8.2246,7.87465,8.12815,8.6441,8.28215,8.66225,8.4817,8.686,8.3026
