ID_REF,GSM18403,GSM18404,GSM18405,GSM18406,GSM18407,GSM18408,GSM18409,GSM18410,GSM18411,GSM18412
AFFX-BioDn-3_st,31.3,39.9,21,20.6,47.3,26.9,34.7,31.4,34.9,39.9
AFFX-BioDn-5_at,296.2,590.9,408.7,535.4,440.7,348.4,730.3,561.9,715.7,921.1
AFFX-BioDn-5_st,11.7,17.8,11.6,5.9,26.4,15,27,18,45.5,60.4
AFFX-CreX-3_at,9338.2,30.2,10030,14.2,8310.4,3787.8,6847.2,5876.9,6391.8,10867.3
AFFX-CreX-3_st,21.5,13.4,73.7,12.8,37.8,15.6,13.8,9.2,17.8,9.8
AFFX-CreX-5_at,6349.5,3.1,6929.6,2.6,6492,2577.9,4573.1,3750.6,4646.9,6114.5
AFFX-CreX-5_st,56.8,24.6,54.2,5.8,75.4,34.7,81.7,9.1,64,16.5
AFFX-DapX-3_at,3.4,7.2,6.9,6.4,5.5,4.9,3.9,3.2,3,8.2
AFFX-DapX-5_at,32.3,31.9,3.6,15.7,31,2.4,2.6,2.1,3.3,3.5
AFFX-DapX-M_at,22.1,10.6,16,5.7,23.2,7.7,16.5,15.9,7.1,50.7
AFFX-HSAC07/X00351_3_at,18158.1,24896.2,9657,18593.5,17719.3,16080.8,24474.6,20854.1,18303.6,18050.3
AFFX-HSAC07/X00351_3_st,88.8,64.3,157.7,98.5,71.8,370.5,357,440.5,363.6,243.2
AFFX-HSAC07/X00351_5_at,12116.5,17151.6,9209.4,15744.3,12883.2,14075.7,14983.8,16706,14545.9,18833.9
AFFX-HSAC07/X00351_5_st,26.1,26.4,19.9,19.6,24.7,21.4,27.3,9.9,52.7,26.2
AFFX-HSAC07/X00351_M_at,18398.5,25429.3,14816.9,22313.1,19357.4,18717.8,24438.3,23955.3,20598.2,24479.9
AFFX-HSAC07/X00351_M_st,65.4,80.1,86.4,61.3,86.5,130.5,132.4,89.8,87,89.3
AFFX-HUMGAPDH/M33197_3_at,8092.2,14396,9102.6,12053,6891.5,5247.9,5637.9,6026.2,6238.1,7864.8
AFFX-HUMGAPDH/M33197_3_st,11.3,123.8,88.2,70.1,59.6,141.8,120.2,91.5,137.1,28.9
AFFX-HUMGAPDH/M33197_5_at,6475.2,12084.6,6716.9,9768.9,4702.7,5030.5,4858.1,5602.5,4903.4,6565.5
AFFX-HUMGAPDH/M33197_5_st,66.1,11,11.1,19.2,32.9,10.5,19.1,5.1,11.8,20
AFFX-HUMGAPDH/M33197_M_at,6339,12422.4,7161.6,9886.3,5030,4363,3796.5,4610.2,4322.9,5967.7
AFFX-HUMGAPDH/M33197_M_st,125,59.8,134.7,120,122.7,122.1,87.4,39.3,133.2,97.7
AFFX-HUMISGF3A/M97935_3_at,1359.2,916.5,779.7,1180.4,962.5,2660.6,793.1,792.2,1229.4,1226.7
AFFX-HUMISGF3A/M97935_5_at,59.2,44.2,13.4,34,8.9,147.6,5.9,12.1,7.9,17.9
AFFX-HUMISGF3A/M97935_MA_at,627.5,430.4,76.5,419.3,360.3,1464.8,231.9,414.9,523.9,470.6
AFFX-HUMISGF3A/M97935_MB_at,267.2,208.8,183,248,152.8,755.2,170.8,279.1,377.3,220.6
AFFX-HUMRGE/M10098_3_at,2026.1,180.6,546.3,247.1,293.3,53,23.7,89.1,24.9,21.7
AFFX-HUMRGE/M10098_5_at,8252.8,84.7,393.3,148.4,132.1,24.8,14.6,52,9.9,14
AFFX-HUMRGE/M10098_M_at,702.5,81,258.6,132.5,86.2,10.1,5.8,25.4,8.1,5.1
AFFX-HUMTFRR/M11507_3_at,174.7,318,120.2,149.2,420.1,426.2,316.5,713.4,426.7,211
AFFX-HUMTFRR/M11507_5_at,63.3,123.7,35.6,70.6,97.1,226.5,135.8,365.8,139.5,41.9
AFFX-HUMTFRR/M11507_M_at,64.1,114.3,27.6,23.2,63.2,76.1,153.3,166.7,97.9,14
AFFX-LysX-3_at,3.9,25.1,9.2,7.8,3.9,1.8,8,1.8,12.5,16.9
AFFX-LysX-5_at,3.5,6.2,7.8,7.9,3,4.2,29.2,24.4,12.7,9.6
AFFX-LysX-M_at,7.7,9.6,8.7,7.3,9.5,7.4,10.8,9.2,25.7,23.9
AFFX-M27830_3_at,58.4,59.8,94.5,85.7,137.5,261.8,111.5,102.2,85,251.3
AFFX-M27830_5_at,292.6,133.9,375.6,201.2,143.6,148,147.4,274.3,83.3,12
AFFX-M27830_M_at,2583,349.3,2287,410.9,735.7,234.4,117.5,528,411.6,227.7
AFFX-PheX-3_at,80.3,71.4,39.1,33.4,60.7,19.3,31,15.5,14.7,78.4
AFFX-PheX-5_at,1.8,2.3,1.9,2.2,2.4,11.1,6.2,4.7,1.8,4.4
AFFX-PheX-M_at,2.7,6.7,4.1,2.9,1.8,4.4,9.7,5.5,5,8.5
AFFX-ThrX-3_at,11.3,5.7,5.6,6.2,5.8,9.9,6.5,8.5,5,8.6
AFFX-ThrX-5_at,8.1,11.8,8.8,11.1,6.9,8.8,18.9,9.7,9.1,44.7
AFFX-ThrX-M_at,6.9,3.8,8.4,4.1,6.3,6.8,3.8,2,1.7,43.7
AFFX-TrpnX-3_at,1,1.2,1.2,9.1,1.5,4.3,3.3,4,4.5,5.3
AFFX-TrpnX-5_at,7.9,30.7,6.2,4,12.9,5.4,8.4,12.5,4.6,10
AFFX-TrpnX-M_at,1.7,3,1.9,2.4,1.9,4.9,4.6,4.3,5.6,6.3
AJ000099_s_at,2456.4,3702.1,2671,1718.8,2447.8,1555.9,3965.2,3773.2,1799.8,1759.3
AJ000480_at,447.3,307.8,296.2,319.2,623.6,1376,2738.3,2135.1,1835,2960.3
AJ001047_at,243.3,173.9,164.3,213.2,289.9,264.2,586.5,594.9,180.4,375
AJ001421_at,2159.8,2530.7,1175.8,2624.2,1496,1566.2,2543.8,1935.4,1916.4,1314.2
AJ001487_at,5.7,14.9,13,10.5,4.4,11,7,8.4,15.1,42.6
D00003_at,0,0,0,0,0,0,0,0,0,0
D00003_s_at,20.3,21.9,14.9,0.9,15.6,1.8,16.3,1.8,2,41.9
D00017_at,9190,8558.3,8302.1,9164,8362,9035.9,5175.8,8323.8,8615.5,7489.3
D00097_s_at,12.3,38.5,8.7,56.3,24.5,25.9,18,12.9,21.9,35
D00408_at,0,0,0,0,0,0,0,0,0,0
D00408_s_at,456.7,112.7,430.5,187.4,379.1,417.4,597.1,287.5,420.8,373.8
D00591_at,314.1,455.2,184.6,396.6,219.5,253.6,114.4,240.7,265.8,38.1
D00596_at,0,0,0,0,0,0,0,0,0,0
D00632_at,11893.7,13347.3,12162.6,6030.1,10079.4,6188.2,6222.6,3463.8,8722.3,5435.3
D00654_at,2096.2,550.7,1522.5,1981.2,521.6,674.9,791.8,966.7,574.1,767.4
D00723_at,164.8,216,220.8,263.4,114.8,104.1,111.2,98.3,126.2,124.9
D00726_at,0,0,0,0,0,0,0,0,0,0
D00749_s_at,317.1,328.5,302.5,425.4,341.9,472.3,618.3,336.4,454.3,408.3
D00760_at,902,1147.7,1105.8,1144,578.6,556.2,507.8,639,688.4,254
D00761_at,2283.9,2921.3,1502.8,1976.9,1635.6,1238.7,1325.4,1284.8,1569.5,1443.5
D00762_at,1598.3,1775.6,1154.1,1972.4,1191.7,1320.3,1300.7,1217.3,1410,918.9
D00763_at,1135.6,1026.6,1199.2,1139,707.1,906.3,771.1,817.6,845.3,601.2
D00860_at,357.4,232,147,335.2,266.8,235.6,320.7,588.3,172,377.2
D10040_at,601.3,1033.5,411.8,803.5,490.4,353.7,668.2,546,422.7,356.9
D10202_at,173.6,335.1,298.2,342.9,297.4,570,368.1,267.9,519.4,204.1
D10326_s_at,23,34.4,36.3,39.4,16.8,37.7,82.4,34.7,30.8,85
D10495_at,1164.8,1455.9,1611.6,1263.6,1612.9,1663.4,1875.2,1104.2,1604.8,1362.7
D10511_at,867.3,499.5,598.1,514.1,609.6,778.9,651.3,601.2,574.6,454.7
D10522_at,1571.3,1162.3,1284.8,1055.4,1435.1,2104.3,1230.5,1042.3,1608,1146.8
D10523_at,1035.9,764.6,1146.3,904.3,1027.6,1003.3,888.5,900.5,1073.8,937.3
