ID_REF,GSM313263,GSM313264,GSM313265,GSM313266,GSM313267,GSM313268,GSM313269,GSM313270,GSM313271,GSM313272,GSM313273,GSM313274,GSM313275,GSM313276,GSM313277,GSM313278,GSM313279,GSM313280,GSM313281,GSM313282,GSM313283,GSM313284,GSM313285,GSM313286,GSM313287,GSM313288,GSM313289,GSM313290,GSM313291,GSM313292,GSM313293,GSM313294,GSM313295,GSM313296,GSM313297
20101,10.01385,10.9985,9.0932,10.1554,10.3275,9.70925,10.08135,10.3425,9.2815,10.1163,10.01635,10.8305,10.26235,10.13055,10.419,10.3775,10.559,10.7305,10.8795,10.372,10.723,9.91885,11.8495,9.76265,10.634,11.0585,9.59625,9.9914,11.0655,10.5075,10.8835,10.775,10.6145,9.0666,10.837
20107,7.68835,7.75405,8.2169,7.1598,7.2975,7.2911,7.8888,7.7115,7.5617,7.68095,7.3475,7.2033,6.8695,7.2718,8.08045,7.75235,7.92385,7.54795,7.82115,7.18675,6.9795,8.4472,8.27175,6.94385,7.7357,7.2919,8.1886,7.24025,8.4409,7.4896,7.39035,7.5479,7.4507,7.52135,7.18575
20109,8.113,7.8358,7.9984,8.48285,8.71375,7.94095,8.20465,7.6989,8.08835,8.61955,7.708,7.95995,7.87415,8.61855,7.9952,7.93535,7.88365,8.1403,7.74525,8.20575,8.66105,8.09925,8.60025,7.64725,8.07325,8.02005,8.06485,7.9451,7.9103,8.2084,7.76175,8.45275,7.99475,8.39515,7.87835
20112,7.2069,7.9102,8.04045,7.99115,8.69935,8.28515,7.677,8.4312,8.33305,8.1863,8.07555,8.0057,8.6765,7.73355,7.4872,7.6745,7.81215,7.95935,8.03235,8.2008,8.15015,6.98685,8.0645,8.4987,7.5796,8.15595,8.11955,8.7906,7.49065,7.82605,8.042,7.9265,8.25405,8.2416,8.5458
20117,9.31995,8.99425,8.704,9.21515,9.27515,9.2503,8.8384,9.2346,9.52445,9.1356,9.77155,9.2054,9.85805,9.148,8.5649,9.58215,8.86255,9.2602,9.0931,9.3769,9.03185,7.01275,8.72765,9.41165,9.6638,9.0626,8.6122,9.04215,8.57085,9.6578,9.4681,8.8715,9.27465,9.9403,9.20705
20119,7.86315,7.6289,7.2912,7.7672,7.73125,7.14265,8.01445,7.49165,7.1612,7.3869,6.90015,7.37085,7.35325,8.45965,7.5793,8.0292,7.2633,7.05095,7.26165,7.04115,7.46795,8.6728,7.73885,7.45485,8.11125,7.87945,7.3346,7.91735,7.527,7.82515,7.4261,8.73725,7.54465,7.4572,7.2311
20122,10.2878,11.136,10.39945,10.877,10.8,11.4075,10.83,11.4925,11.617,10.8215,11.905,10.65,11.2875,10.1643,11.3795,10.9345,11.1865,11.2855,11.299,11.1525,10.1324,9.16545,11.9175,11.194,10.7445,10.451,11.646,10.29065,11.276,10.914,10.974,10.31175,11.4675,11.1575,10.856
20129,10.1045,8.39375,8.3582,8.6618,8.86475,8.94765,8.1108,9.2779,8.8861,8.63165,9.23855,8.5558,9.42075,8.93985,8.96005,8.16765,9.3586,8.18355,8.30235,8.9249,9.26615,7.72935,8.5145,9.18605,9.16615,8.8273,8.64775,8.73975,8.31695,8.80465,9.0745,8.54265,8.47585,8.8265,8.91555
20130,8.89665,8.9343,9.27115,8.74385,9.07615,8.31345,9.66335,8.83575,9.01435,8.91815,9.24755,9.04255,8.67835,9.55995,9.01975,9.0537,8.7086,11.1695,9.42315,8.53575,9.1987,10.1651,8.9167,8.4475,9.57065,9.88025,9.4725,9.62065,9.3152,8.6268,9.001,8.93645,9.0398,8.5351,9.18295
20131,9.99415,9.2608,9.9205,9.74465,9.5996,10.5745,9.5508,9.5087,9.35035,9.46675,9.0299,9.51345,8.97665,9.2734,9.94595,9.56375,10.00875,8.95785,9.6723,9.00675,9.7434,10.878,9.9426,9.41135,9.22055,9.1244,10.2235,9.126,10.4618,9.5548,9.2768,9.9565,9.57715,9.04035,8.7362
20133,7.6078,7.67235,8.2488,6.6244,7.04385,6.8914,7.65065,7.63625,7.46135,7.55575,6.8659,7.0996,6.6236,7.09165,7.77155,7.3486,7.55085,7.37995,8.05815,7.10235,6.61355,9.40805,8.24985,6.70935,8.10695,7.03995,8.6482,6.88425,9.00785,7.2516,7.3726,7.06165,7.0189,6.47415,6.70945
20134,8.7335,8.6564,9.10575,7.8017,7.79805,7.6108,8.6109,8.4014,8.0187,8.13215,7.7491,8.06895,7.4863,8.1881,8.7476,8.27385,8.19565,7.8033,8.4295,7.58395,7.5832,10.3375,8.9788,7.69945,8.80225,7.6711,9.27695,7.81145,9.43055,7.83445,8.06495,8.16535,7.92245,7.50295,7.5645
20135,7.8818,7.9622,7.73475,6.90535,7.34695,6.8217,7.57935,7.3727,7.2965,7.2432,7.1314,7.0932,6.96095,7.2633,7.9084,7.6113,7.56765,7.12075,7.46685,6.948,7.0223,8.74305,7.7186,6.681,7.85195,7.2229,7.71635,7.0985,7.94635,6.80855,7.3834,7.2805,7.01455,7.0511,6.96535
20136,7.23355,7.3053,8.70185,7.01645,7.2608,7.14995,7.9048,7.7759,7.5142,7.9014,7.22445,7.2792,7.1201,7.12875,7.46595,7.39975,7.6057,7.3985,8.19785,7.22785,7.0566,8.854,8.4414,6.9993,7.6941,6.84855,8.88745,7.06275,9.0369,7.6682,7.23305,7.20925,7.0698,6.86525,7.14855
20138,7.8521,8.30475,8.5185,8.44855,8.5183,8.10005,8.17395,8.20145,8.71665,8.17115,8.93115,8.1363,8.4123,8.21455,8.17685,8.3551,8.04435,8.2238,8.58355,8.1982,8.17895,7.43535,8.2556,8.3216,7.9522,8.3375,8.00945,8.2185,8.03725,8.6462,8.10565,8.02815,8.3406,8.7527,8.43055
20144,8.51465,8.72915,9.30775,7.7091,7.82265,7.41685,8.705,8.27605,8.2234,8.2139,7.57405,8.0566,7.3544,8.27995,8.4197,8.41285,8.46615,7.9775,8.7492,7.97805,8.49495,10.591,9.24905,7.45485,8.77185,8.1581,9.44575,8.3026,9.8481,8.1779,8.0116,8.2884,7.70445,7.18935,7.6788
20146,10.5045,10.27665,9.77155,10.2025,9.67075,9.851,9.88835,10.5145,11.086,9.5782,10.4265,9.9677,10.422,9.5702,9.5534,10.642,9.7317,9.87615,9.4695,10.30755,10.397,9.69355,10.22375,9.7748,9.86735,9.3376,10.0517,9.541,9.60535,9.42065,10.16215,9.3889,9.74065,9.81075,9.59775
