ID_REF,GSM1276660,GSM1276661,GSM1276662,GSM1276666,GSM1276667,GSM1276668
7892749,4.35926,4.22837,4.65935,4.68753,4.60917,4.63667
7892750,3.09347,2.99553,3.15936,2.30383,3.15373,3.28693
7892751,5.93034,6.23973,6.19429,6.69726,6.4085,6.83726
7892752,2.68664,2.24125,1.16059,2.64266,2.86406,2.43383
7892753,11.55444,11.36721,11.76418,12.01882,11.94245,11.82555
7892754,2.77683,3.13492,3.32866,4.27369,4.58319,4.03958
7892755,2.51289,2.84694,3.44146,4.42799,5.42995,4.28097
7892756,0.9684,0.94705,0.946,0.78556,0.88491,0.73737
7892757,7.19417,6.90853,7.02548,9.14719,9.11975,9.10265
7892758,4.10004,5.50481,4.70974,4.77978,4.60668,4.24416
7892759,4.93843,4.96819,4.83431,6.26936,5.75071,5.44941
7892760,4.11473,4.08336,5.0561,4.22454,3.74624,3.88821
7892761,4.13563,4.97502,4.85361,4.79897,4.64587,4.89385
7892762,11.27956,11.31973,11.1648,11.47745,11.30586,11.72597
7892763,4.30832,4.06812,5.01869,5.89034,5.88789,5.24191
7892764,8.71155,8.46479,8.64405,7.47501,7.75649,7.51033
7892765,8.11163,7.31226,8.03433,8.60082,8.6115,8.30333
7892766,10.02413,10.17572,10.04812,9.39919,9.48849,9.95703
7892767,3.61379,3.56847,2.81577,3.24499,3.66374,2.75124
7892768,1.98767,2.49232,2.04557,2.8567,2.42809,2.14734
7892769,1.94694,0.80385,1.02117,1.32861,1.66139,2.15735
7892770,9.30848,9.41211,9.34739,9.51165,9.21109,9.85868
7892771,8.5232,8.58045,8.35152,7.52793,7.67785,7.52081
7892772,3.61097,3.66602,4.33408,3.4957,3.65363,3.33924
7892773,4.68441,4.99062,5.34255,5.04537,4.96144,5.27457
7892774,5.11257,5.49906,4.84579,5.24067,5.02918,5.44912
7892775,4.38811,4.70585,4.01297,4.29304,5.33484,3.87073
7892776,7.81397,8.04624,8.34918,7.40767,7.76525,7.31716
7892777,3.97794,4.15845,3.78647,4.42871,3.72261,4.52286
7892778,6.55326,6.96688,6.22575,7.49338,6.69261,7.70695
7892779,1.54119,1.80303,1.07517,3.05351,2.80629,1.83377
7892780,3.91905,3.94677,3.69579,3.6937,3.95179,3.75883
7892781,4.18972,5.01418,4.83156,6.30686,5.32922,5.80336
7892782,10.34828,10.39391,10.60798,10.84815,10.8323,10.74927
7892783,7.25546,7.08623,7.72838,8.19431,8.10141,7.73363
7892784,2.74089,2.21293,2.42445,3.59463,4.69285,3.34782
7892785,3.24587,2.37204,3.06072,3.39241,3.61491,3.94718
7892786,8.81337,8.90821,8.76313,8.73257,9.00084,8.83914
7892787,2.99219,2.21138,2.89688,1.84668,2.06254,1.6397
7892788,8.44684,8.5149,7.83485,7.74711,7.86632,7.91327
7892789,3.10875,4.61354,4.69461,3.90848,4.73843,4.28398
7892790,2.45214,1.97296,1.61958,1.7422,2.11391,1.68767
7892791,11.27856,11.42221,11.30599,11.47989,11.3985,11.50227
7892792,5.00774,4.62789,4.99143,5.65747,5.34808,4.94464
7892793,1.88196,1.88465,2.05798,2.62326,2.46973,2.53635
7892794,3.53524,4.04948,4.84576,5.21434,5.35048,4.97172
7892795,3.97892,4.10054,3.68676,4.61911,4.78051,4.7074
7892796,12.57994,12.20383,12.28252,12.32919,12.44174,12.22474
7892797,6.33372,6.06688,6.23194,6.21976,6.31625,6.54037
7892798,2.18431,2.41497,3.60525,2.9794,2.62042,2.12992
7892799,3.32432,2.55985,2.30162,2.78675,2.3067,2.77888
7892800,3.40313,3.06679,3.22533,2.70339,4.0451,2.48148
7892801,1.25251,2.17849,2.13933,0.97529,2.06669,1.34219
7892802,8.44349,7.98124,8.09626,8.66071,8.59366,8.30179
7892803,11.92402,11.76684,11.90927,11.78397,11.79429,11.72731
7892804,2.86135,2.47073,2.80405,3.08629,2.87611,2.91652
7892805,2.7439,3.11482,3.86856,3.43003,1.95086,2.1361
7892806,2.515,1.92902,1.93294,1.88051,2.11787,2.19356
7892807,4.25548,5.23794,4.51311,4.71587,3.83471,4.14358
7892808,8.49526,8.61753,8.60405,8.18611,8.07104,8.58703
7892809,1.05477,0.77731,0.97187,1.11497,0.96527,1.3273
7892810,2.79709,3.10382,3.51891,3.44097,2.94133,3.87718
7892811,1.33474,1.69561,2.11268,1.4616,0.70262,0.89973
7892812,5.67306,5.40123,5.28457,5.67678,5.53418,4.89844
7892813,1.33868,1.97803,1.53056,2.00451,2.17177,1.33977
7892814,10.69475,10.0331,10.30794,9.71927,9.88637,9.72652
7892815,1.40767,1.37327,1.35751,1.30136,1.29936,1.22739
7892816,8.08742,7.81527,8.32944,9.00833,8.77988,8.64938
7892817,11.76478,11.69552,11.63206,11.24462,11.16604,10.99716
7892818,1.51555,0.86796,1.06288,1.0315,1.29588,0.8113
7892819,5.84425,5.00529,5.65044,4.62486,5.16795,4.84441
7892820,10.47175,10.46249,10.52928,10.03419,9.94549,10.01005
7892821,1.82782,0.5447,2.35897,1.15217,0.75002,1.11834
7892822,2.7042,1.80724,3.83541,3.67687,3.65663,2.9349
7892823,5.29768,5.84642,5.88757,5.89364,5.13412,6.31885
7892824,4.90428,4.33644,4.58052,5.52104,5.85959,5.71833
7892825,2.14176,2.44078,2.38218,3.05767,2.49494,2.9486
7892826,4.59688,3.76321,3.80099,4.25462,4.90983,4.88338
7892827,11.49784,11.44974,11.59148,11.86957,11.64452,11.61872
7892828,1.91446,1.53204,1.82467,1.88553,1.86116,1.74461
7892829,11.27002,11.12229,11.20796,11.2331,11.3613,11.16961
7892830,11.46161,11.42607,11.48359,11.21164,11.13541,11.31843
7892831,9.18553,8.54205,9.16803,9.75782,9.83172,9.5315
7892832,6.95065,6.77202,5.82766,6.89331,7.4273,6.55459
7892833,1.26884,1.08299,1.54359,1.31106,1.73465,1.30737
7892834,1.69308,1.55497,2.38697,3.33586,3.10725,2.17686
7892835,9.38992,9.25019,9.17897,8.44892,8.23436,8.58304
7892836,10.22538,10.20253,10.32473,10.47154,10.50722,10.35599
7892837,8.35399,8.59298,8.48138,7.81222,7.69292,7.6766
7892838,9.26482,9.07778,9.38021,9.46186,9.59011,9.03376
7892839,1.80005,2.52851,1.27409,2.05811,1.95086,1.76288
7892840,3.5542,4.10186,4.61217,3.72783,4.53839,4.10795
7892841,8.46094,8.65289,8.55113,8.01905,8.09175,8.36625
7892842,3.78499,2.85365,3.31189,3.28967,3.29491,3.35836
7892843,2.94916,2.78429,2.54311,4.08909,4.32355,3.82088
7892844,2.6517,2.30945,2.18009,2.62642,2.77959,1.59006
7892845,5.95357,5.30096,6.22046,5.46423,6.52117,5.74215
7892846,11.67341,11.7436,11.66561,11.53427,11.63613,11.60343
7892847,6.87551,6.31063,6.14759,6.30759,6.24403,5.69039
7892848,7.66309,7.68254,7.78836,8.09227,7.67723,7.70105
7892849,2.37534,2.57932,3.18637,2.84516,2.28278,2.37603
7892850,6.51143,6.36733,6.49094,7.6105,7.52748,7.30999
7892851,4.64998,4.75137,5.02582,5.31181,4.95313,5.19728
7892852,5.71381,5.51968,6.11769,5.68007,6.0341,5.94171
7892853,11.63697,11.54005,11.48241,11.37463,11.37351,11.34713
7892854,2.92941,3.03821,1.8179,2.40081,3.05869,2.4466
7892855,3.96679,4.15052,4.33242,3.99362,4.00688,4.0844
7892856,5.42712,5.0417,5.47008,5.66786,4.80245,3.83482
7892857,10.30452,10.24878,10.15487,9.81333,9.69092,9.91766
7892858,2.52538,0.87889,1.99411,0.92442,1.30912,1.01925
7892859,5.36711,5.40082,5.69604,5.69249,5.31299,5.37345
7892860,4.18336,3.61512,4.21496,3.88994,4.28898,3.58221
7892861,10.08677,9.96082,10.09049,9.28679,9.31372,9.10473
7892862,8.50073,8.7636,9.01737,8.57789,9.21379,8.52564
7892863,7.27657,6.69019,7.16277,6.65536,7.45385,6.2288
7892864,4.20753,3.69813,3.6725,3.29208,3.56581,2.8766
7892865,8.38087,8.22235,8.44928,9.22223,9.13849,8.55539
7892866,1.08951,1.05162,1.05714,1.45606,1.79491,1.0762
7892867,2.1102,1.8569,2.26778,2.08329,2.64325,1.56754
7892868,11.61629,11.51524,11.53055,10.69789,10.90778,10.65488
7892869,5.555,5.13431,6.42705,6.08633,6.25881,6.36302
7892870,6.52627,6.21282,5.682,6.72952,6.6591,6.77047
7892871,6.59168,6.15167,7.02981,7.47738,7.61047,7.38771
7892872,3.90551,3.92263,3.54945,3.79126,3.83538,3.60059
7892873,4.0028,3.95881,3.42008,2.09472,1.06567,1.93163
7892874,1.5364,1.77169,3.73578,3.00083,2.55561,1.17718
7892875,4.91005,5.02832,4.25914,4.60355,5.50361,5.02818
7892876,3.35629,2.03716,2.20713,1.64944,3.97247,1.75827
7892877,3.39783,2.50266,3.08073,2.87516,2.67018,2.839
7892878,4.3582,4.59888,5.15311,4.58819,5.17446,5.26966
7892879,4.39681,4.21112,4.06055,4.28216,4.08809,2.98153
7892880,8.68478,8.47208,8.37448,8.20658,8.31909,8.42958
7892881,1.17641,1.88127,2.37516,2.49798,2.58393,2.37865
7892882,10.10329,10.03147,9.99642,8.94451,9.30763,8.87403
7892883,4.19905,3.56982,3.04267,3.09767,3.66903,2.80704
7892884,9.82118,9.9326,9.77158,9.00564,8.95302,9.03715
7892885,3.02672,3.8095,2.60347,2.90127,2.67375,3.72564
7892886,3.44876,3.01225,3.2627,4.17789,5.046,3.26583
7892887,2.08194,1.93706,2.49538,1.68487,1.0155,1.89438
7892888,1.10776,1.64303,2.25568,1.69002,1.91939,1.64234
7892889,11.02666,10.85607,10.92325,11.20606,11.09927,10.98251
7892890,9.52385,9.49387,9.47411,8.92543,8.7956,8.80917
7892891,10.46861,10.28706,10.79604,11.21828,11.09875,10.86378
7892892,2.76835,2.49329,3.83398,2.29728,3.27743,1.99235
7892893,7.90801,8.12286,8.14022,8.03333,7.88874,8.11574
7892894,7.01186,6.84202,6.91623,7.96674,7.63729,7.21958
7892895,3.0371,3.77081,3.42609,4.30778,2.7796,3.95211
7892896,7.85427,8.04189,7.95812,7.73274,8.06623,7.65954
7892897,5.11111,5.97997,5.95564,5.08537,5.41149,5.20319
7892898,5.55714,6.10304,5.96085,6.48271,6.3463,6.73982
7892899,9.67211,9.93439,10.09199,10.74359,10.27862,10.51864
7892900,10.96545,10.78758,10.95048,10.59394,10.54616,10.49497
7892901,10.79734,10.9118,10.91226,11.18101,11.29759,11.04055
7892902,12.46134,12.41783,12.50987,12.58227,12.52987,12.48821
7892903,6.54442,5.79779,6.23101,7.24645,6.75905,6.77831
7892904,3.25396,2.7772,3.10946,5.43887,5.69966,4.41027
7892905,1.00196,1.30059,1.86965,1.43614,1.51001,1.82265
7892906,12.14402,12.02867,11.96902,11.91438,11.72065,12.10613
7892907,10.27421,9.88014,10.06188,10.41037,10.38868,10.20734
7892908,3.45471,4.13739,3.60245,5.21759,3.92192,4.17968
7892909,6.25619,5.64631,6.00202,6.6498,6.5607,6.23514
